"","Date","Away","Home","Actual","OREB_1","OREB_2","OREB_3","OREB_4","OREB_5","OREB_6","OREB_7","OREB_8","OREB_9","OREB_10","OREB_11","OREB_12","OREB_13","OREB_14","OREB_CV"
"27","3/10/2025","Los Angeles Lakers","Brooklyn Nets",NA,20,17,20.99731064,19.88,21.204434955966,22.47091946,20.2194129188067,22.9918512,15.13,31.48706369,23.03119755,21,23.22545624,20,22
"28","3/10/2025","Charlotte Hornets","Miami Heat",NA,20,28,20.99735117,18.91,20.6963360930376,20.5477779256671,22.4122089313386,22.03282463,15.1325,27.69294999,22.61415653,22,24.39113426,19,24
"29","3/10/2025","Washington Wizards","Toronto Raptors",NA,21,26,22,20.31,20.4284677585572,20.8045323758668,22.0683570521961,24.83104039,15.0525,25.78635236,22.41976208,22,25.50619125,21,18
"30","3/10/2025","Indiana Pacers","Chicago Bulls",NA,21,22,18.9978075,16.95,20.6026008517922,19.3954107798027,19.0473691512311,22.13337521,15.1275,28.02523837,17.39754304,19,22.38939667,21,19
"31","3/10/2025","Orlando Magic","Houston Rockets",NA,23,28,24.99609184,17.62,22.5305069677121,21.7403798731356,26.004935512704,24.10456982,15.145,15.9478785,23.45040172,26,25.34325981,21,25
"32","3/10/2025","Phoenix Suns","Memphis Grizzlies",NA,21,25,21.99700356,16.59,23.30348414024,22.6080178739859,22.5831718802211,25.34066762,15.1225,32.18315484,23.85511277,22,20.62701797,22,22
"33","3/10/2025","Denver Nuggets","Oklahoma City Thunder",NA,21,17,21.99701691,21.89,23.0432983973981,23.0499790310611,22.7776435196766,25.89520952,15.205,27.79168993,22.93275954,22,21.709589,22,26
"34","3/10/2025","Dallas Mavericks","San Antonio Spurs",NA,21,27,20.99719906,18.07,20.8449581124881,20.0289340739329,21.2647598356978,25.3331865,15.1075,28.57928667,19.68400588,22,22.36129189,19,22
"35","3/10/2025","Portland Trail Blazers","Golden State Warriors",NA,25,27,25.99577332,22.88,24.186724638926,24.7211161696359,25.4121534469948,26.74597769,15.15,26.65657215,27.27100169,25,23.32256126,21,27
"36","3/10/2025","New York Knicks","Sacramento Kings",NA,22,26,21.99701691,22.24,21.9327599457002,21.2636848103968,21.5424615608428,22.17394161,15.185,19.51544325,21.21539872,22,22.28559685,21,25
"37","3/11/2025","Brooklyn Nets","Cleveland Cavaliers",NA,21,28,19.99738121,15.12,24.8938436051749,23.0935126735585,21.7277675253209,21.46664044,15.1225,22.33496684,20.09813127,22,18.91470337,21,25
"38","3/11/2025","Washington Wizards","Detroit Pistons",NA,21,28,22,20.26,22.2337377892143,21.6741264731753,22.2819999145682,23.96853236,15.0475,16.60019742,19.00651143,22,20.62701797,21,18
"39","3/11/2025","Milwaukee Bucks","Indiana Pacers",NA,18,19,16.99858141,20.74,19.5008182801122,18.687725826144,17.7279619673018,17.39503361,15.1925,18.67721249,19.19160898,17,21.69845581,19,20
"40","3/11/2025","Los Angeles Clippers","New Orleans Pelicans",NA,22,28,23.99639511,20.78,21.2151215085852,21.2704333604157,NA,21.73409773,15.145,31.45217206,25.23588899,23,23.25587845,22,22
"41","3/12/2025","Chicago Bulls","Orlando Magic",NA,22,23,20.99719906,17.48,20.6358395638719,20.0844214635374,21.433983962613,NA,15.09,24.18634298,20.52506988,21,21.03318596,20,17
"42","3/12/2025","Charlotte Hornets","Atlanta Hawks",NA,23,20,23.99639511,20.66,21.3077342822806,22.8779403202054,24.4445673434768,21.59791195,15.1275,26.18382288,21.67338374,25,25.79986,20,20
"43","3/12/2025","Oklahoma City Thunder","Boston Celtics",NA,21,25,21.99701691,17.94,23.7582059561904,22.5281691763656,21.7821269542203,22.43910909,15.1475,23.48426324,22.7593495,22,22.31957436,21,21
"44","3/12/2025","Philadelphia 76ers","Toronto Raptors",NA,21,19,20.99731064,20.29,22.1012482536351,21.1482257021479,21.3162815205643,22.37817004,15.1275,27.69294999,25.26714551,22,19.16763687,21,25
"45","3/12/2025","Phoenix Suns","Houston Rockets",NA,22,21,22.99670029,23.85,23.6836555851296,22.6751735423412,23.6164060127288,24.97585044,15.165,22.73579631,23.63459067,24,25.22418022,21,28
"46","3/12/2025","Utah Jazz","Memphis Grizzlies",NA,24,19,25.99577332,25.18,24.3142394093799,24.3200101758545,25.6135658504836,26.43815853,15.1375,23.86219025,23.27376902,26,22.29615593,22,27
"47","3/12/2025","Los Angeles Clippers","Miami Heat",NA,20,23,18.99797297,20.78,19.6599740861294,19.6366203428113,NA,18.15596756,15.1775,25.69273812,21.28580808,20,16.77741051,20,16
"48","3/12/2025","Dallas Mavericks","San Antonio Spurs",NA,21,21,20.99719906,18.07,20.8449581124881,20.0289340739329,21.2647598356978,23.81677694,15.1075,29.02091039,19.68400588,22,21.70067596,19,23
"49","3/12/2025","Minnesota Timberwolves","Denver Nuggets",NA,21,25,20.99719906,18.85,21.5027106985107,21.9184880517346,22.6570014653732,20.84743136,15.145,29.68881089,21.09837037,22,19.09211349,22,27
"50","3/12/2025","New York Knicks","Portland Trail Blazers",NA,25,23,22.99670219,24,19.1018651693304,22.4813197569669,23.2368583964934,25.27668255,15.1325,24.69397916,23.80835241,23,28.90214157,22,23
"51","3/13/2025","Washington Wizards","Detroit Pistons",NA,21,18,22,20.26,22.2779109592818,21.6741264731753,22.2819999145682,23.25245403,15.0475,16.60019742,19.00651143,22,27.78990173,21,18
