,Date,Away,Home,Actual,Spread_1,Spread_2,Spread_3,Spread_4,Spread_5,Spread_6,Spread_7,Spread_8,Spread_9,Spread_10,Spread_11,Spread_12,Spread_13,Spread_14,Spread_CV
30,3/10/2025,Indiana Pacers,Chicago Bulls,18,-4,-1.920898318,3.430473328,-11.36,-0.235895361,-2.221459866,-4.128805986,-5.992533333,-2.78,3.728446521,-1.85566675,NA,-0.67538734,-9,-9
31,3/10/2025,Orlando Magic,Houston Rockets,13,10,4.32509613,7.156280518,2.15,4.048592887,1.12226522,7.278462008,5.396666667,3.15,-3.138448832,6.189542484,NA,5.698843319,6,8
32,3/10/2025,Phoenix Suns,Memphis Grizzlies,2,10,2.846934557,7.407440186,5.21,5.512682451,6.972892761,11.42135028,14.93283333,6.75,10.22563296,7.836808696,NA,6.691551373,15,6
33,3/10/2025,Denver Nuggets,Oklahoma City Thunder,-13,16,6.094223976,1.320747375,3.89,3.781265622,7.886874199,9.320457934,9.575466667,2.27,3.987713609,9.929053908,NA,16.20398365,17,8
34,3/10/2025,Dallas Mavericks,San Antonio Spurs,-4,-4,4.378698349,2.75025177,-14.45,0.67971726,-0.478563726,0.448365829,-0.698233333,-2,-4.391637229,0.786470104,NA,0.839798637,1,7
35,3/10/2025,Portland Trail Blazers,Golden State Warriors,10,12,3.32124877,3.828872681,33.91,0.946298466,11.03631496,4.288959891,4.5977,3.02,21.66795629,8.993001398,NA,5.751091112,8,26
36,3/10/2025,New York Knicks,Sacramento Kings,-29,-8,3.990932226,0.324050903,-20.4,-0.893174861,2.141431093,-0.40832659,-6.837866667,-1.11,27.37933632,0.402465582,NA,-0.414148378,2,-11
37,3/11/2025,Brooklyn Nets,Cleveland Cavaliers,5,9,6.695234299,15.31022644,17.97,9.42092917,6.71877861,14.61418234,16.62016667,8.11,12.88183049,21.65102973,NA,17.08886204,17,23
38,3/11/2025,Washington Wizards,Detroit Pistons,20,13,3.968183517,8.345565796,19.13,7.088143326,9.354989052,8.521805136,8.3336,6.95,21.34713933,9.926460554,NA,7.31852488,20,15
39,3/11/2025,Milwaukee Bucks,Indiana Pacers,1,1,2.675359726,6.88,-8.89,4.11320641,1.616086721,3.705863574,-1.0373,-0.29,1.400258171,4.392567894,NA,3.870170589,3,-8
40,3/11/2025,Los Angeles Clippers,New Orleans Pelicans,7,-7,-1.0877949,6.408966064,-2.96,-3.545458085,-5.32770443,-4.797392312,-6.6281,-5.38,2.937537371,4.361700415,NA,-1.197865263,-9,0
41,3/12/2025,Chicago Bulls,Orlando Magic,NA,8,4.766958237,-13.54,7.78,1.711414674,6.058279514,1.435397381,NA,0.72,-4.097537166,-11.73171141,NA,-9.035034106,18,-2
42,3/12/2025,Charlotte Hornets,Atlanta Hawks,13,7,-0.341711551,13.75,9.71,8.787174517,20.56556654,4.897096488,3.5632,1.71,22.48701845,16.86297611,NA,10.50564021,10,23
43,3/12/2025,Oklahoma City Thunder,Boston Celtics,-6,-1,5.488580227,0.06,-12.58,1.520585174,8.534913063,-0.080620654,2.110766667,-0.02,2.194949856,-6.28996432,NA,-2.190573316,-2,-12
