"","Date","Away","Home","Actual","Total_1","Total_2","Total_3","Total_4","Total_5","Total_6","Total_7","Total_8","Total_9","Total_10","Total_11","Total_12","Total_13","Total_14","Total_CV"
"31","3/10/2025","Orlando Magic","Houston Rockets",181,197,214.924758911133,214.980957,228.67,217.666365971101,212.5944672,208.624675236556,208.4483667,216.65,204.3247027,210.8215095,225,217.7505667,221,216
"32","3/10/2025","Phoenix Suns","Memphis Grizzlies",238,243,231.687515258789,237.9150848,230.14,246.06737022357,257.8039856,237.476410012671,237.0421,236.9,284.7327393,219.3494088,218,239.4947,198,247
"33","3/10/2025","Denver Nuggets","Oklahoma City Thunder",267,239,224.219848632812,239.7407608,224.51,223.446706018313,245.1601868,234.39462214887,243.4669667,240.84,252.5934635,206.4844704,230,241.8995,208,233
"34","3/10/2025","Dallas Mavericks","San Antonio Spurs",262,231,230.865463256836,230.7773972,227.65,228.351822199533,225.1876678,228.016155051085,240.3546667,226.81,214.6018899,215.4575881,225,229.4546667,217,216
"35","3/10/2025","Portland Trail Blazers","Golden State Warriors",250,216,224.497589111328,221.7923737,238.54,221.618415206231,232.9212799,222.747247639667,230.1681667,222.85,239.9522151,218.8915147,231,223.4609667,233,247
"36","3/10/2025","New York Knicks","Sacramento Kings",237,241,228.257431030273,232.8652954,243.81,236.279107171438,233.626709,232.770227937252,241.6994333,234.35,244.4280085,221.2642446,228,235.7262667,189,246
"37","3/11/2025","Brooklyn Nets","Cleveland Cavaliers",213,224,222.559951782227,231.3512573,224.12,223.989691948779,219.0059967,225.175985499466,230.0511667,226.8,229.0354967,207.3635318,223,223.2068667,217,228
"38","3/11/2025","Washington Wizards","Detroit Pistons",226,224,229.434234619141,219.1229706,225.48,230.321659260488,223.5813904,229.486975133206,235.7220333,221.13,217.3039393,220.8770286,226,223.1467333,222,229
"39","3/11/2025","Milwaukee Bucks","Indiana Pacers",229,234,230.617202758789,231.5878143,223.36,231.511521405719,229.2909088,230.901926648688,235.1661,229.86,225.0689115,213.4996141,225,232.7042333,272,243
"40","3/11/2025","Los Angeles Clippers","New Orleans Pelicans",247,217,223.365524291992,221.5471954,226.49,222.701065227727,217.4735718,223.01019468514,231.8173333,221.02,216.3729438,201.098948,233,222.9275667,212,228
"41","3/12/2025","Chicago Bulls","Orlando Magic",NA,220,212.411819458008,222.926506,225.43,226.593855708141,216.9260559,219.977823179144,NA,221.99,219.830995,209.6853902,216,221.4322667,211,222
"42","3/12/2025","Charlotte Hornets","Atlanta Hawks",233,222,224.546890258789,222.3457031,234.81,223.351725756032,202.7052002,228.784805718951,232.1374333,220.54,203.2252174,221.5548636,227,222.617,224,217
"43","3/12/2025","Oklahoma City Thunder","Boston Celtics",230,228,222.539093017578,234.1385422,210.04,229.294496825454,229.0934906,219.608125315315,230.5876333,233.94,243.2164992,209.515385,223,236.2888667,231,221
"44","3/12/2025","Philadelphia 76ers","Toronto Raptors",223,226,219.036911010742,219.4427795,231.08,226.811455370413,224.6885986,219.837366710324,229.5773,220.09,211.4285647,217.2834526,222,220.9439,254,216
"45","3/12/2025","Phoenix Suns","Houston Rockets",215,221,227.162322998047,225.5206757,227.63,222.725007231962,234.8738556,222.103340059443,221.5384667,223.93,236.6858374,223.0153954,231,229.1651333,226,229
"46","3/12/2025","Utah Jazz","Memphis Grizzlies",237,243,226.197326660156,237.1780243,239.31,243.62419875588,247.4033661,240.667943724376,243.5706667,234.87,264.3101442,217.3105298,214,238.1402667,198,239
"47","3/12/2025","Los Angeles Clippers","Miami Heat",223,216,215.817657470703,221.4678421,207.58,217.325539092612,212.5632629,215.290383559593,225.2161667,220.81,208.8688992,201.197767,223,224.2076667,196,210
"48","3/12/2025","Dallas Mavericks","San Antonio Spurs",242,231,230.865463256836,230.7773972,227.65,228.351822199533,225.1876678,228.016155051085,240.8321333,226.81,214.6018899,215.4575881,225,229.4546667,217,216
"49","3/12/2025","Minnesota Timberwolves","Denver Nuggets",210,236,224.5654296875,235.8286057,221.35,230.281748217351,222.8683624,232.451342464919,239.4422,233.93,245.8880797,207.438748,237,234.6023667,226,236
"50","3/12/2025","New York Knicks","Portland Trail Blazers",227,234,226.170547485352,228.4180756,210.31,206.847824868207,221.2712402,225.601375319134,235.2326667,227.76,238.2540366,217.8333864,224,227.1792333,196,240
"51","3/13/2025","Washington Wizards","Detroit Pistons",254,224,229.434234619141,219.1229706,225.48,230.452274468478,223.5813904,229.486975133206,236.1043333,221.13,217.3039393,220.8770286,226,223.1467333,222,229
"52","3/13/2025","Los Angeles Lakers","Milwaukee Bucks",232,231,222.149002075195,228.506218,245,235.793207518848,228.1420441,225.850758583998,237.5391667,223.95,229.7021869,213.8601911,230,229.5742,249,239
"53","3/13/2025","Brooklyn Nets","Chicago Bulls",226,220,221.382904052734,224.1023102,218.22,232.785225712673,224.2389984,226.770342802209,231.7212333,220.48,228.9249195,216.0675931,219,220.3576,217,225
"54","3/13/2025","Sacramento Kings","Golden State Warriors",234,224,223.903701782227,229.3977127,221.75,235.542352266854,229.5146637,228.607946867957,239.0087,229.4,242.9027008,222.3223729,234,231.1823333,265,241
"55","3/14/2025","Boston Celtics","Miami Heat",194,228,220.504043579102,227.9348297,222.69,212.723593191134,208.6613159,216.620247636039,226.0532,227.09,211.7448319,202.8533151,219,229.0399333,217,205
"56","3/14/2025","Indiana Pacers","Philadelphia 76ers",212,231,222.883224487305,222.2415543,234.44,228.648418454184,240.602951,225.613449336696,236.0293,226.28,239.873885,215.7465735,222,227.2488333,260,227
"57","3/14/2025","Los Angeles Clippers","Atlanta Hawks",219,223,224.866653442383,226.4296646,221.36,230.49097650937,218.6914978,228.937637484427,232.0286333,228.03,211.3235465,216.8612896,231,231.1764667,293,236
"58","3/14/2025","Dallas Mavericks","Houston Rockets",229,217,227.791076660156,225.1442032,228.53,227.149124016651,221.7745514,222.686530443386,225.3057333,227.37,204.0111889,213.9421647,230,230.0138,235,210
"59","3/14/2025","Cleveland Cavaliers","Memphis Grizzlies",257,247,234.086273193359,245.6992188,246.15,245.982936190775,230.716629,241.851571415945,247.3417,241.23,271.8119958,204.8473877,215,245.5444,210,253
"60","3/14/2025","Orlando Magic","Minnesota Timberwolves",229,206,218.892395019531,216.4061966,211.14,207.227492069252,208.9766998,208.158138323586,214.2290333,215.07,228.6830329,206.5655756,221,215.8238333,212,207
"61","3/14/2025","Charlotte Hornets","San Antonio Spurs",279,219,218.894500732422,220.9965591,230.19,228.83331885961,209.7484894,220.837911573556,227.2094333,215.95,206.733838,219.2790458,224,218.4721667,231,228
"62","3/14/2025","Los Angeles Lakers","Denver Nuggets",257,238,224.350189208984,233.6891556,215.2,241.779116672724,225.0304718,235.22604566776,238.8852,235.38,235.1301332,210.5707728,234,235.1004333,227,234
"63","3/14/2025","Toronto Raptors","Utah Jazz",244,231,230.808731079102,221.8629913,246.56,240.582856488456,221.0865479,228.910232738431,234.0788,221.7,229.0826016,221.0289094,221,221.5523,260,221
"64","3/14/2025","Sacramento Kings","Phoenix Suns",228,241,230.776214599609,230.9706955,226.88,229.099680608851,233.5099792,230.330851483462,242.1794,230.03,237.0450567,225.0583387,229,232.8512,256,235
"65","3/15/2025","Boston Celtics","Brooklyn Nets",228,215,219.630966186523,218.532547,217.03,221.380106053294,210.2954407,212.4290475,212.2381333,223.06,202.3552588,213.5757539,222,220.3352667,228,226
"66","3/15/2025","Oklahoma City Thunder","Detroit Pistons",220,225,225.713851928711,230.5034409,220.06,235.820498841908,248.6518555,224.398100888186,235.4097,230.76,240.6130379,213.6406051,223,236.6668,226,242
"67","3/15/2025","Chicago Bulls","Houston Rockets",231,224,228.98957824707,228.7303925,242.56,235.445184777118,219.3771362,229.420007611068,226.3621333,229.09,234.8447565,217.2174357,226,232.7726333,243,238
"68","3/15/2025","Miami Heat","Memphis Grizzlies",216,233,222.779632568359,231.5506973,210.73,215.753939846447,216.7812195,231.592896817422,231.9122333,233.79,237.4256439,202.8152871,210,236.6071667,208,228
"69","3/15/2025","Indiana Pacers","Milwaukee Bucks",245,236,228.763977050781,231.5914764,228.73,229.436516939417,241.1773682,231.041549577092,239.5986667,229.55,239.3568396,213.4996141,225,232.213,233,243
"70","3/15/2025","New York Knicks","Golden State Warriors",191,226,221.502639770508,228.8918152,226.56,225.750607435008,228.8259277,226.6934356534,233.7568333,229.76,234.5540631,221.1471758,227,231.3493333,230,231
"71","3/15/2025","New Orleans Pelicans","San Antonio Spurs",234,224,231.328536987305,224.1466293,227.46,235.855679353195,229.4047546,229.03043580686,242.7048333,222.27,223.6237003,207.8978781,232,223.5752,229,227
"72","3/15/2025","Washington Wizards","Denver Nuggets",249,238,226.226898193359,230.8839951,232.11,235.573359071502,225.1735687,239.934151470281,243.5467333,231.09,222.7404854,213.7208939,233,229.4790667,245,233
"73","3/16/2025","Philadelphia 76ers","Dallas Mavericks",255,231,222.589752197266,222.7374649,236.96,228.475128249728,224.6259308,224.525161142956,229.8919667,225.2,218.8421383,212.8196692,222,226.2265667,231,218
"74","3/16/2025","Phoenix Suns","Los Angeles Lakers",203,237,226.205612182617,229.7412567,225.51,232.026151358018,235.2740936,226.06556201771,230.3857333,223.88,245.7545075,221.8914863,227,230.0988333,233,233
"75","3/16/2025","Atlanta Hawks","Brooklyn Nets",236,217,222.087875366211,220.7047195,232.73,224.962457444662,220.8022461,224.415701861325,219.0005667,223.22,218.110863,220.9949537,226,223.0836667,217,232
"76","3/16/2025","Orlando Magic","Cleveland Cavaliers",211,220,219.705810546875,227.6344376,225.4,218.893443015019,214.3603821,220.771959002457,226.2646333,225.84,232.7673432,200.9813288,220,222.3569333,222,228
"77","3/16/2025","Toronto Raptors","Portland Trail Blazers",207,224,227.565216064453,221.6109238,236.56,226.026007469501,220.826355,221.794367145568,228.0291667,220.63,238.2654211,217.0180332,227,220.7085333,246,232
"78","3/16/2025","Utah Jazz","Minnesota Timberwolves",230,229,228.238693237305,226.7266617,224.66,228.536178902692,226.5688477,224.828336858179,237.8324333,222.45,240.6215726,216.7205825,222,226.9390333,190,236
