Date,Home Team,Visitor Team,Home Score,Visitor Score,Location,Season,Season Type,Spread,Total,Result
9/5/2015,Missouri,SE Missouri State,34,3,Visitor,2015-16,Regular,31,37,W
9/5/2015,Indiana,So Illinois,48,47,Visitor,2015-16,Regular,1,95,W
9/5/2015,East Carolina,Towson,28,20,Visitor,2015-16,Regular,8,48,W
9/5/2015,Cincinnati,Alabama A&M,52,10,Visitor,2015-16,Regular,42,62,W
9/5/2015,Kansas State,South Dakota,34,0,Visitor,2015-16,Regular,34,34,W
9/5/2015,Houston,Tennessee Tech,52,24,Visitor,2015-16,Regular,28,76,W
9/5/2015,San Diego State,San Diego,37,3,Visitor,2015-16,Regular,34,40,W
9/5/2015,Kansas,South Dakota State,38,41,Visitor,2015-16,Regular,-3,79,L
9/5/2015,Tulsa,Florida Atlantic,47,44,Visitor,2015-16,Regular,3,91,W
9/5/2015,Oregon,Eastern Washington,61,42,Visitor,2015-16,Regular,19,103,W
9/5/2015,Kentucky,UL Lafayette,40,33,Visitor,2015-16,Regular,7,73,W
9/5/2015,Nebraska,BYU,28,33,Visitor,2015-16,Regular,-5,61,L
9/5/2015,Northern Illinois,UNLV,38,30,Visitor,2015-16,Regular,8,68,W
9/5/2015,Alabama,Wisconsin,35,17,Neutral,2015-16,Regular,18,52,W
9/6/2015,Marshall,Purdue,41,31,Visitor,2015-16,Regular,10,72,W
9/7/2015,Virginia Tech,Ohio State,24,42,Visitor,2015-16,Regular,-18,66,L
9/10/2015,Western Kentucky,Louisiana Tech,41,38,Visitor,2015-16,Regular,3,79,W
9/11/2015,Florida Atlantic,Miami Florida,20,44,Visitor,2015-16,Regular,-24,64,L
9/11/2015,Utah,Utah State,24,14,Visitor,2015-16,Regular,10,38,W
9/12/2015,Mississippi,Fresno State,73,21,Visitor,2015-16,Regular,52,94,W
9/12/2015,Georgia Southern,Western Michigan,43,17,Visitor,2015-16,Regular,26,60,W
9/12/2015,Mississippi St,LSU,19,21,Visitor,2015-16,Regular,-2,40,L
9/12/2015,Wisconsin,Miami Ohio,58,0,Visitor,2015-16,Regular,58,58,W
9/12/2015,Ohio,Marshall,21,10,Visitor,2015-16,Regular,11,31,W
9/12/2015,Syracuse,Wake Forest,30,17,Visitor,2015-16,Regular,13,47,W
9/12/2015,Clemson,Appalachian St,41,10,Visitor,2015-16,Regular,31,51,W
9/12/2015,Arkansas State,Missouri,20,27,Visitor,2015-16,Regular,-7,47,L
9/12/2015,Colorado,Massachusetts,48,14,Visitor,2015-16,Regular,34,62,W
9/12/2015,Michigan,Oregon State,35,7,Visitor,2015-16,Regular,28,42,W
9/12/2015,Georgia Tech,Tulane,65,10,Visitor,2015-16,Regular,55,75,W
9/12/2015,Vanderbilt,Georgia,14,31,Visitor,2015-16,Regular,-17,45,L
9/12/2015,BYU,Boise State,35,24,Visitor,2015-16,Regular,11,59,W
9/12/2015,Virginia,Notre Dame,27,34,Visitor,2015-16,Regular,-7,61,L
9/12/2015,California,San Diego State,35,7,Visitor,2015-16,Regular,28,42,W
9/12/2015,Arkansas,Toledo,12,16,Neutral,2015-16,Regular,-4,28,L
9/12/2015,Air Force,San Jose State,37,16,Visitor,2015-16,Regular,21,53,W
9/12/2015,SMU,North Texas,31,13,Visitor,2015-16,Regular,18,44,W
9/12/2015,Texas A&M,Ball State,56,23,Visitor,2015-16,Regular,33,79,W
9/12/2015,Texas Tech,UTEP,69,20,Visitor,2015-16,Regular,49,89,W
9/12/2015,Nebraska,South Alabama,48,9,Visitor,2015-16,Regular,39,57,W
9/12/2015,Indiana,Florida Intl,36,22,Visitor,2015-16,Regular,14,58,W
9/12/2015,USC,Idaho,59,9,Visitor,2015-16,Regular,50,68,W
9/12/2015,Stanford,Central Florida,31,7,Visitor,2015-16,Regular,24,38,W
9/12/2015,Illinois,Western Illinois,44,0,Visitor,2015-16,Regular,44,44,W
9/12/2015,Purdue,Indiana State,38,14,Visitor,2015-16,Regular,24,52,W
9/12/2015,Boston College,Howard,76,0,Visitor,2015-16,Regular,76,76,W
9/12/2015,Washington,Sacramento State,49,0,Visitor,2015-16,Regular,49,49,W
9/12/2015,Central Michigan,Monmouth,31,10,Visitor,2015-16,Regular,21,41,W
9/12/2015,Southern Miss,Austin Peay,52,6,Visitor,2015-16,Regular,46,58,W
9/12/2015,Northern Illinois,Murray State,57,26,Visitor,2015-16,Regular,31,83,W
9/12/2015,Virginia Tech,Furman,42,3,Visitor,2015-16,Regular,39,45,W
9/12/2015,Northwestern,Eastern Illinois,41,0,Visitor,2015-16,Regular,41,41,W
9/12/2015,North Carolina,North Carolina A&T,53,14,Visitor,2015-16,Regular,39,67,W
9/12/2015,Duke,North Carolina Central,55,0,Visitor,2015-16,Regular,55,55,W
9/12/2015,Kent,Delaware State,45,13,Visitor,2015-16,Regular,32,58,W
9/12/2015,TCU,Stephen Austin,70,7,Visitor,2015-16,Regular,63,77,W
9/12/2015,UL Lafayette,Northwestern State,44,17,Visitor,2015-16,Regular,27,61,W
9/12/2015,UL Monroe,Nicholls State,47,0,Visitor,2015-16,Regular,47,47,W
9/12/2015,Texas State,Prairie View,63,24,Visitor,2015-16,Regular,39,87,W
9/12/2015,Troy,Charleston Southern,44,16,Visitor,2015-16,Regular,28,60,W
9/12/2015,Colorado State,Minnesota,20,23,Visitor,2015-16,Regular,-3,43,L
9/12/2015,NC State,Eastern Kentucky,35,0,Visitor,2015-16,Regular,35,35,W
9/12/2015,Connecticut,Army,22,17,Visitor,2015-16,Regular,5,39,W
9/12/2015,Florida,East Carolina,31,24,Visitor,2015-16,Regular,7,55,W
9/12/2015,Penn State,Buffalo,27,14,Visitor,2015-16,Regular,13,41,W
9/12/2015,Michigan State,Oregon,31,28,Visitor,2015-16,Regular,3,59,W
9/12/2015,Nevada,Arizona,20,44,Visitor,2015-16,Regular,-24,64,L
9/12/2015,South Carolina,Kentucky,22,26,Visitor,2015-16,Regular,-4,48,L
9/12/2015,Louisville,Houston,31,34,Visitor,2015-16,Regular,-3,65,L
9/12/2015,Cincinnati,Temple,26,34,Visitor,2015-16,Regular,-8,60,L
9/12/2015,Auburn,Jacksonville State,27,20,Visitor,2015-16,Regular,7,47,W
9/12/2015,West Virginia,Liberty,41,17,Visitor,2015-16,Regular,24,58,W
9/12/2015,Old Dominion,Norfolk State,24,10,Visitor,2015-16,Regular,14,34,W
9/12/2015,Baylor,Lamar,66,31,Visitor,2015-16,Regular,35,97,W
9/12/2015,Oklahoma State,Central Arkansas,32,8,Visitor,2015-16,Regular,24,40,W
9/12/2015,Arizona State,Cal Poly,35,21,Visitor,2015-16,Regular,14,56,W
9/12/2015,Texas,Rice,42,28,Visitor,2015-16,Regular,14,70,W
9/12/2015,Florida State,South Florida,34,14,Visitor,2015-16,Regular,20,48,W
9/12/2015,Ohio State,Hawaii,38,0,Visitor,2015-16,Regular,38,38,W
9/12/2015,Wyoming,Eastern Michigan,29,48,Visitor,2015-16,Regular,-19,77,L
9/12/2015,Alabama,Middle Tenn St,37,10,Visitor,2015-16,Regular,27,47,W
9/12/2015,Akron,Pittsburgh,7,24,Visitor,2015-16,Regular,-17,31,L
9/12/2015,Rutgers,Washington State,34,37,Visitor,2015-16,Regular,-3,71,L
9/12/2015,Tennessee,Oklahoma,24,31,Visitor,2015-16,Regular,-7,55,L
9/12/2015,New Mexico,Tulsa,21,40,Visitor,2015-16,Regular,-19,61,L
9/12/2015,UNLV,UCLA,3,37,Visitor,2015-16,Regular,-34,40,L
9/12/2015,UTSA,Kansas State,3,30,Visitor,2015-16,Regular,-27,33,L
9/12/2015,Arkansas,Toledo,12,16,Neutral,2015-16,Regular,-4,28,L
9/12/2015,New Mexico State,Georgia State,32,34,Visitor,2015-16,Regular,-2,66,L
9/12/2015,Kansas,Memphis,23,55,Visitor,2015-16,Regular,-32,78,L
9/12/2015,Maryland,Bowling Green,27,48,Visitor,2015-16,Regular,-21,75,L
9/12/2015,Iowa State,Iowa,17,31,Visitor,2015-16,Regular,-14,48,L
9/17/2015,Louisville,Clemson,17,20,Visitor,2015-16,Regular,-3,37,L
9/18/2015,Boise State,Idaho State,52,0,Visitor,2015-16,Regular,52,52,W
9/18/2015,Boston College,Florida State,0,14,Visitor,2015-16,Regular,-14,14,L
9/18/2015,Arizona State,New Mexico,34,10,Visitor,2015-16,Regular,24,44,W
9/19/2015,Maryland,South Florida,35,17,Visitor,2015-16,Regular,18,52,W
9/19/2015,North Carolina,Illinois,48,14,Visitor,2015-16,Regular,34,62,W
9/19/2015,Army,Wake Forest,14,17,Visitor,2015-16,Regular,-3,31,L
9/19/2015,Ohio,SE Louisiana,35,14,Visitor,2015-16,Regular,21,49,W
9/19/2015,Bowling Green,Memphis,41,44,Visitor,2015-16,Regular,-3,85,L
9/19/2015,Massachusetts,Temple,23,25,Visitor,2015-16,Regular,-2,48,L
9/19/2015,Oklahoma State,UTSA,69,14,Visitor,2015-16,Regular,55,83,W
9/19/2015,Miami Ohio,Cincinnati,33,37,Visitor,2015-16,Regular,-4,70,L
9/19/2015,Navy,East Carolina,45,21,Visitor,2015-16,Regular,24,66,W
9/19/2015,Indiana,Western Kentucky,38,35,Visitor,2015-16,Regular,3,73,W
9/19/2015,Mississippi St,Northwestern State,62,13,Visitor,2015-16,Regular,49,75,W
9/19/2015,Washington,Utah State,31,17,Visitor,2015-16,Regular,14,48,W
9/19/2015,Idaho,Wofford,41,38,Visitor,2015-16,Regular,3,79,W
