Play,Home Team,Visitor Team,Home Score,Visitor Score,Event Date,Odds,Result,Units Won,Home / Visitor,Season,Season Type
Play On Maryland,Florida Intl,Maryland,14,41,9/9/2016,-12,W,94.3,Visitor,2016-17,Regular
Play On NC State,East Carolina,NC State,33,30,9/10/2016,-6,L,-100,Visitor,2016-17,Regular
Play On Akron,Wisconsin,Akron,54,10,9/10/2016,21.5,L,-100,Visitor,2016-17,Regular
Play On Tulsa,Ohio State,Tulsa,48,3,9/10/2016,28,L,-100,Visitor,2016-17,Regular
Play On Northern Illinois,South Florida,Northern Illinois,48,17,9/10/2016,14.5,L,-100,Visitor,2016-17,Regular
Play On Georgia State,Air Force,Georgia State,48,14,9/10/2016,23.5,L,-100,Visitor,2016-17,Regular
Play On Nevada,Notre Dame,Nevada,39,10,9/10/2016,27.5,L,-100,Visitor,2016-17,Regular
Play On Kentucky,Florida,Kentucky,45,7,9/10/2016,14,L,-100,Visitor,2016-17,Regular
Play On Western Kentucky,Alabama,Western Kentucky,38,10,9/10/2016,27,L,-100,Visitor,2016-17,Regular
Play On Connecticut,Navy,Connecticut,28,24,9/10/2016,3.5,L,-100,Visitor,2016-17,Regular
Play On Middle Tenn St,Vanderbilt,Middle Tenn St,47,24,9/10/2016,3,L,-100,Visitor,2016-17,Regular
Play On UTSA,Colorado State,UTSA,23,14,9/10/2016,8.5,L,-100,Visitor,2016-17,Regular
Play On Idaho,Washington,Idaho,59,14,9/10/2016,36.5,L,-100,Visitor,2016-17,Regular
Play On UTEP,Texas,UTEP,41,7,9/10/2016,31,L,-100,Visitor,2016-17,Regular
Play On Arkansas State,Auburn,Arkansas State,51,14,9/10/2016,20.5,L,-100,Visitor,2016-17,Regular
Play On Florida Atlantic,Miami Florida,Florida Atlantic,38,10,9/10/2016,25,L,-100,Visitor,2016-17,Regular
Play On South Carolina,Mississippi St,South Carolina,27,14,9/10/2016,7.5,L,-100,Visitor,2016-17,Regular
Play On Iowa State,Iowa,Iowa State,42,3,9/10/2016,15.5,L,-100,Visitor,2016-17,Regular
Play On Virginia Tech,Tennessee,Virginia Tech,45,24,9/10/2016,11.5,L,-100,Neutral,2016-17,Regular
Play On Wyoming,Nebraska,Wyoming,52,17,9/10/2016,25.5,L,-100,Visitor,2016-17,Regular
Play On Utah State,USC,Utah State,45,7,9/10/2016,15.5,L,-100,Visitor,2016-17,Regular
Play On New Mexico,New Mexico State,New Mexico,32,31,9/10/2016,-11,L,-100,Visitor,2016-17,Regular
Play On Texas Tech,Arizona State,Texas Tech,68,55,9/10/2016,-1.5,L,-100,Visitor,2016-17,Regular
Play On Rice,Army,Rice,31,14,9/10/2016,8.5,L,-100,Visitor,2016-17,Regular
Play On Central Florida,Michigan,Central Florida,51,14,9/10/2016,36,L,-100,Visitor,2016-17,Regular
Play On Old Dominion,Appalachian St,Old Dominion,31,7,9/10/2016,21,L,-100,Visitor,2016-17,Regular
Play On Eastern Michigan,Missouri,Eastern Michigan,61,21,9/10/2016,23,L,-100,Visitor,2016-17,Regular
Play On Indiana State,Minnesota,Indiana State,58,28,9/10/2016,24,L,-100,Visitor,2016-17,Regular
Play On Prairie View,Texas A&M,Prairie View,67,0,9/10/2016,53,L,-100,Visitor,2016-17,Regular
Play On Idaho State,Colorado,Idaho State,56,7,9/10/2016,45.5,L,-100,Visitor,2016-17,Regular
Play On McNeese St,UL Lafayette,McNeese St,30,22,9/10/2016,5,L,-100,Visitor,2016-17,Regular
Play On North Carolina Central,Western Michigan,North Carolina Central,70,21,9/10/2016,35.5,L,-100,Visitor,2016-17,Regular
Play On Maine,Toledo,Maine,45,3,9/10/2016,31,L,-100,Visitor,2016-17,Regular
Play On Stony Brook,Temple,Stony Brook,38,0,9/10/2016,23.5,L,-100,Visitor,2016-17,Regular
Play On Morgan State,Marshall,Morgan State,62,0,9/10/2016,42.5,L,-100,Visitor,2016-17,Regular
Play On Elon,Charlotte U,Elon,47,14,9/10/2016,21.5,L,-100,Visitor,2016-17,Regular
Play On Bethune Cookman,North Texas,Bethune Cookman,41,20,9/10/2016,11,L,-100,Visitor,2016-17,Regular
Play On Southern,Tulane,Southern,66,21,9/10/2016,31.5,L,-100,Visitor,2016-17,Regular
Play On Penn State,Pittsburgh,Penn State,42,39,9/10/2016,3,P,0,Visitor,2016-17,Regular
Play On Youngstown State,West Virginia,Youngstown State,38,21,9/10/2016,17,P,0,Visitor,2016-17,Regular
Play On Savannah State,Southern Miss,Savannah State,56,0,9/10/2016,56,P,0,Visitor,2016-17,Regular
Play On Ohio,Kansas,Ohio,21,37,9/10/2016,3,W,84,Visitor,2016-17,Regular
Play On South Carolina State,Louisiana Tech,South Carolina State,53,24,9/10/2016,34.5,W,84,Visitor,2016-17,Regular
Play On Cincinnati,Purdue,Cincinnati,20,38,9/10/2016,-3,W,87,Visitor,2016-17,Regular
Play On Washington State,Boise State,Washington State,31,28,9/10/2016,13.5,W,87.7,Visitor,2016-17,Regular
Play On California,San Diego State,California,45,40,9/10/2016,5.5,W,87.7,Visitor,2016-17,Regular
Play On Arkansas,TCU,Arkansas,38,41,9/10/2016,10.5,W,88.5,Visitor,2016-17,Regular
Play On Virginia,Oregon,Virginia,44,26,9/10/2016,24,W,90.9,Visitor,2016-17,Regular
Play On Boston College,Massachusetts,Boston College,7,26,9/10/2016,-15.5,W,90.9,Visitor,2016-17,Regular
Play On Charleston Southern,Florida State,Charleston Southern,52,8,9/10/2016,59,W,90.9,Visitor,2016-17,Regular
Play On North Carolina A&T,Kent,North Carolina A&T,36,39,9/10/2016,11.5,W,90.9,Visitor,2016-17,Regular
Play On Jacksonville State,LSU,Jacksonville State,34,13,9/10/2016,31,W,92.6,Visitor,2016-17,Regular
Play On Lamar,Houston,Lamar,42,0,9/10/2016,42.5,W,92.6,Visitor,2016-17,Regular
Play On Howard,Rutgers,Howard,52,14,9/10/2016,43,W,92.6,Visitor,2016-17,Regular
Play On Eastern Illinois,Miami Ohio,Eastern Illinois,17,21,9/10/2016,10,W,92.6,Visitor,2016-17,Regular
Play On Illinois State,Northwestern,Illinois State,7,9,9/10/2016,11.5,W,92.6,Visitor,2016-17,Regular
Play On Wofford,Mississippi,Wofford,38,13,9/10/2016,43,W,92.6,Visitor,2016-17,Regular
Play On Central Michigan,Oklahoma State,Central Michigan,27,30,9/10/2016,17.5,W,94.3,Visitor,2016-17,Regular
Play On Troy,Clemson,Troy,30,24,9/10/2016,35,W,94.3,Visitor,2016-17,Regular
Play On UL Monroe,Oklahoma,UL Monroe,59,17,9/10/2016,46,W,94.3,Visitor,2016-17,Regular
Play On SMU,Baylor,SMU,40,13,9/10/2016,34.5,W,94.3,Visitor,2016-17,Regular
Play On Tennessee,Tennessee,Virginia Tech,45,24,9/10/2016,-11.5,W,94.3,Neutral,2016-17,Regular
Play On Grambling State,Arizona,Grambling State,31,21,9/10/2016,43.5,W,95.2,Visitor,2016-17,Regular
Play On Nicholls State,Georgia,Nicholls State,26,24,9/10/2016,52.5,W,96.2,Visitor,2016-17,Regular
Play On Wake Forest,Duke,Wake Forest,14,24,9/10/2016,6.5,W,97.1,Visitor,2016-17,Regular
Play On BYU,Utah,BYU,20,19,9/10/2016,3,W,97.1,Visitor,2016-17,Regular
Play On Georgia Southern,South Alabama,Georgia Southern,9,24,9/10/2016,-13.5,W,101,Visitor,2016-17,Regular
Play On UNLV,UCLA,UNLV,42,21,9/10/2016,27,W,101,Visitor,2016-17,Regular
Play On Ball State,Indiana,Ball State,30,20,9/10/2016,16.5,W,102,Visitor,2016-17,Regular
Play On North Dakota,Bowling Green,North Dakota,27,26,9/10/2016,17,W,103,Visitor,2016-17,Regular
Play On North Carolina,Illinois,North Carolina,23,48,9/10/2016,-7,W,105,Visitor,2016-17,Regular
Play On Houston,Cincinnati,Houston,16,40,9/15/2016,-7.5,W,102,Visitor,2016-17,Regular
Play On Baylor,Rice,Baylor,10,38,9/16/2016,-33.5,L,-100,Visitor,2016-17,Regular
Play On Arkansas State,Utah State,Arkansas State,34,20,9/16/2016,9.5,L,-100,Visitor,2016-17,Regular
Play On Arizona State,UTSA,Arizona State,28,32,9/16/2016,-21.5,L,-100,Visitor,2016-17,Regular
Play On Florida Intl,Massachusetts,Florida Intl,21,13,9/17/2016,-1,L,-100,Visitor,2016-17,Regular
Play On Florida State,Louisville,Florida State,63,20,9/17/2016,2,L,-100,Visitor,2016-17,Regular
Play On East Carolina,South Carolina,East Carolina,20,15,9/17/2016,1.5,L,-100,Visitor,2016-17,Regular
Play On Maryland,Central Florida,Maryland,24,30,9/17/2016,-10.5,L,-100,Visitor,2016-17,Regular
Play On Kansas,Memphis,Kansas,43,7,9/17/2016,20,L,-100,Visitor,2016-17,Regular
Play On New Mexico,Rutgers,New Mexico,37,28,9/17/2016,7.5,L,-100,Visitor,2016-17,Regular
Play On Vanderbilt,Georgia Tech,Vanderbilt,38,7,9/17/2016,6.5,L,-100,Visitor,2016-17,Regular
Play On Idaho,Washington State,Idaho,56,6,9/17/2016,28,L,-100,Visitor,2016-17,Regular
Play On UNLV,Central Michigan,UNLV,44,21,9/17/2016,12,L,-100,Visitor,2016-17,Regular
Play On Florida Atlantic,Kansas State,Florida Atlantic,63,7,9/17/2016,23.5,L,-100,Visitor,2016-17,Regular
Play On Fresno State,Toledo,Fresno State,52,17,9/17/2016,21.5,L,-100,Visitor,2016-17,Regular
Play On Boston College,Virginia Tech,Boston College,49,0,9/17/2016,6.5,L,-100,Visitor,2016-17,Regular
Play On Western Kentucky,Miami Ohio,Western Kentucky,24,31,9/17/2016,-17.5,L,-100,Visitor,2016-17,Regular
Play On Louisiana Tech,Texas Tech,Louisiana Tech,59,45,9/17/2016,11,L,-100,Visitor,2016-17,Regular
Play On Pittsburgh,Oklahoma State,Pittsburgh,45,38,9/17/2016,2.5,L,-100,Visitor,2016-17,Regular
Play On Texas State,Arkansas,Texas State,42,3,9/17/2016,28.5,L,-100,Neutral,2016-17,Regular
Play On UCLA,BYU,UCLA,14,17,9/17/2016,-3.5,L,-100,Visitor,2016-17,Regular
Play On Old Dominion,NC State,Old Dominion,49,22,9/17/2016,24.5,L,-100,Visitor,2016-17,Regular
Play On South Alabama,UL Lafayette,South Alabama,28,23,9/17/2016,1.5,L,-100,Visitor,2016-17,Regular
Play On Duke,Northwestern,Duke,24,13,9/17/2016,4,L,-100,Visitor,2016-17,Regular
Play On Georgia,Missouri,Georgia,27,28,9/17/2016,-7,L,-100,Visitor,2016-17,Regular
Play On USC,Stanford,USC,27,10,9/17/2016,7.5,L,-100,Visitor,2016-17,Regular
Play On Buffalo,Nevada,Buffalo,38,14,9/17/2016,12.5,L,-100,Visitor,2016-17,Regular
Play On Texas,California,Texas,50,43,9/17/2016,-7.5,L,-100,Visitor,2016-17,Regular
Play On North Carolina A&T,Tulsa,North Carolina A&T,58,21,9/17/2016,31.5,L,-100,Visitor,2016-17,Regular
Play On Eastern Kentucky,Ball State,Eastern Kentucky,41,14,9/17/2016,13,L,-100,Visitor,2016-17,Regular
Play On Monmouth,Kent,Monmouth,27,7,9/17/2016,14.5,L,-100,Visitor,2016-17,Regular
Play On James Madison,North Carolina,James Madison,56,28,9/17/2016,24.5,L,-100,Visitor,2016-17,Regular
Play On Alabama,Mississippi,Alabama,43,48,9/17/2016,-10,L,-100,Visitor,2016-17,Regular
Play On Northern Colorado,Colorado State,Northern Colorado,47,21,9/17/2016,21.5,L,-100,Visitor,2016-17,Regular
Play On Liberty,SMU,Liberty,29,14,9/17/2016,14,L,-100,Visitor,2016-17,Regular
Play On Virginia,Connecticut,Virginia,13,10,9/17/2016,3,P,0,Visitor,2016-17,Regular
Play On Oregon,Nebraska,Oregon,35,32,9/17/2016,3,P,0,Visitor,2016-17,Regular
Play On Navy,Tulane,Navy,14,21,9/17/2016,-7,P,0,Visitor,2016-17,Regular
Play On Middle Tenn St,Bowling Green,Middle Tenn St,21,41,9/17/2016,-6,W,81.3,Visitor,2016-17,Regular
Play On North Dakota State,Iowa,North Dakota State,21,23,9/17/2016,14.5,W,87.7,Visitor,2016-17,Regular
Play On Idaho State,Oregon State,Idaho State,37,7,9/17/2016,43.5,W,88.5,Visitor,2016-17,Regular
Play On UL Monroe,Georgia Southern,UL Monroe,23,21,9/17/2016,27,W,89.3,Visitor,2016-17,Regular
Play On Delaware,Wake Forest,Delaware,38,21,9/17/2016,24,W,89.3,Visitor,2016-17,Regular
Play On Western Michigan,Illinois,Western Michigan,10,34,9/17/2016,-3,W,90.1,Visitor,2016-17,Regular
Play On Michigan State,Notre Dame,Michigan State,28,36,9/17/2016,7.5,W,90.1,Visitor,2016-17,Regular
Play On Georgia State,Wisconsin,Georgia State,23,17,9/17/2016,35,W,90.9,Visitor,2016-17,Regular
Play On UC Davis,Wyoming,UC Davis,45,22,9/17/2016,23.5,W,92.6,Visitor,2016-17,Regular
Play On Portland State,Washington,Portland State,41,3,9/17/2016,42.5,W,92.6,Visitor,2016-17,Regular
Play On Colorado,Michigan,Colorado,45,28,9/17/2016,17.5,W,93.5,Visitor,2016-17,Regular
Play On Troy,Southern Miss,Troy,31,37,9/17/2016,9.5,W,93.5,Visitor,2016-17,Regular
Play On Mississippi St,LSU,Mississippi St,23,20,9/17/2016,13,W,93.5,Visitor,2016-17,Regular
Play On Temple,Penn State,Temple,34,27,9/17/2016,8.5,W,94.3,Visitor,2016-17,Regular
Play On Eastern Michigan,Charlotte U,Eastern Michigan,19,37,9/17/2016,-1.5,W,94.3,Visitor,2016-17,Regular
Play On Akron,Marshall,Akron,38,65,9/17/2016,17.5,W,94.3,Visitor,2016-17,Regular
Play On Army,UTEP,Army,14,66,9/17/2016,-3.5,W,94.3,Visitor,2016-17,Regular
Play On San Diego State,Northern Illinois,San Diego State,28,42,9/17/2016,-13,W,94.3,Visitor,2016-17,Regular
Play On New Mexico State,Kentucky,New Mexico State,62,42,9/17/2016,22,W,94.3,Visitor,2016-17,Regular
Play On Arkansas,Arkansas,Texas State,42,3,9/17/2016,-28.5,W,94.3,Neutral,2016-17,Regular
Play On Ohio State,Oklahoma,Ohio State,24,45,9/17/2016,-1.5,W,94.3,Visitor,2016-17,Regular
Play On Utah,San Jose State,Utah,17,34,9/17/2016,-13.5,W,94.3,Visitor,2016-17,Regular
Play On Ohio,Tennessee,Ohio,28,19,9/17/2016,27,W,96.2,Visitor,2016-17,Regular
Play On North Texas,Florida,North Texas,32,0,9/17/2016,32.5,W,96.2,Visitor,2016-17,Regular
Play On South Florida,Syracuse,South Florida,20,45,9/17/2016,-12.5,W,98,Visitor,2016-17,Regular
Play On Hawaii,Arizona,Hawaii,47,28,9/17/2016,23.5,W,98,Visitor,2016-17,Regular
Play On Texas A&M,Auburn,Texas A&M,16,29,9/17/2016,1,W,99,Visitor,2016-17,Regular
Play On Iowa State,TCU,Iowa State,41,20,9/17/2016,24.5,W,100,Visitor,2016-17,Regular
Play On Miami Florida,Appalachian St,Miami Florida,10,45,9/17/2016,-4,W,100,Visitor,2016-17,Regular
Play On Clemson,Georgia Tech,Clemson,7,26,9/22/2016,-10.5,W,94.3,Visitor,2016-17,Regular
Play On Wyoming,Eastern Michigan,Wyoming,27,24,9/23/2016,-6,L,-100,Visitor,2016-17,Regular
Play On USC,Utah,USC,31,27,9/23/2016,3,L,-100,Visitor,2016-17,Regular
Play On TCU,SMU,TCU,3,33,9/23/2016,-21.5,W,87.7,Visitor,2016-17,Regular
Play On Charlotte U,Temple,Charlotte U,48,20,9/24/2016,24.5,L,-100,Visitor,2016-17,Regular
Play On San Jose State,Iowa State,San Jose State,44,10,9/24/2016,7.5,L,-100,Visitor,2016-17,Regular
Play On Mississippi St,Massachusetts,Mississippi St,35,47,9/24/2016,-22.5,L,-100,Visitor,2016-17,Regular
Play On UTSA,Old Dominion,UTSA,33,19,9/24/2016,5.5,L,-100,Visitor,2016-17,Regular
Play On Tulsa,Fresno State,Tulsa,41,48,9/24/2016,-16.5,L,-100,Visitor,2016-17,Regular
Play On Nevada,Purdue,Nevada,24,14,9/24/2016,3,L,-100,Visitor,2016-17,Regular
Play On Army,Buffalo,Army,23,20,9/24/2016,-13,L,-100,Visitor,2016-17,Regular
Play On Iowa,Rutgers,Iowa,7,14,9/24/2016,-14.5,L,-100,Visitor,2016-17,Regular
Play On Penn State,Michigan,Penn State,49,10,9/24/2016,15.5,L,-100,Visitor,2016-17,Regular
Play On Connecticut,Connecticut,Syracuse,24,31,9/24/2016,-1.5,L,-100,Neutral,2016-17,Regular
Play On East Carolina,Virginia Tech,East Carolina,54,17,9/24/2016,14.5,L,-100,Visitor,2016-17,Regular
Play On Georgia Southern,Western Michigan,Georgia Southern,49,31,9/24/2016,9.5,L,-100,Visitor,2016-17,Regular
Play On West Virginia,West Virginia,BYU,35,32,9/24/2016,-8.5,L,-100,Neutral,2016-17,Regular
Play On Bowling Green,Memphis,Bowling Green,77,3,9/24/2016,17.5,L,-100,Visitor,2016-17,Regular
Play On Central Michigan,Virginia,Central Michigan,49,35,9/24/2016,-5.5,L,-100,Visitor,2016-17,Regular
Play On Oklahoma State,Baylor,Oklahoma State,35,24,9/24/2016,7,L,-100,Visitor,2016-17,Regular
Play On California,Arizona State,California,51,41,9/24/2016,3.5,L,-100,Visitor,2016-17,Regular
Play On LSU,Auburn,LSU,18,13,9/24/2016,-3.5,L,-100,Visitor,2016-17,Regular
Play On Boise State,Oregon State,Boise State,24,38,9/24/2016,-16.5,L,-100,Visitor,2016-17,Regular
Play On Washington,Arizona,Washington,28,35,9/24/2016,-17,L,-100,Visitor,2016-17,Regular
Play On Kent,Alabama,Kent,48,0,9/24/2016,42.5,L,-100,Visitor,2016-17,Regular
Play On South Carolina,Kentucky,South Carolina,17,10,9/24/2016,2.5,L,-100,Visitor,2016-17,Regular
Play On Georgia,Mississippi,Georgia,45,14,9/24/2016,6.5,L,-100,Visitor,2016-17,Regular
Play On Florida,Tennessee,Florida,38,28,9/24/2016,4,L,-100,Visitor,2016-17,Regular
Play On Arkansas,Texas A&M,Arkansas,45,24,9/24/2016,7,L,-100,Visitor,2016-17,Regular
Play On Delaware State,Missouri,Delaware State,79,0,9/24/2016,52.5,L,-100,Visitor,2016-17,Regular
Play On New Mexico State,Troy,New Mexico State,52,6,9/24/2016,20,L,-100,Visitor,2016-17,Regular
Play On Louisville,Marshall,Louisville,28,59,9/24/2016,-31,P,0,Visitor,2016-17,Regular
Play On Vanderbilt,Western Kentucky,Vanderbilt,30,31,9/24/2016,9.5,W,87,Visitor,2016-17,Regular
Play On Wisconsin,Michigan State,Wisconsin,6,30,9/24/2016,3.5,W,87,Visitor,2016-17,Regular
Play On North Texas,Rice,North Texas,35,42,9/24/2016,7,W,88.5,Visitor,2016-17,Regular
Play On Wagner,Boston College,Wagner,42,10,9/24/2016,44.5,W,88.5,Visitor,2016-17,Regular
Play On Colorado State,Minnesota,Colorado State,31,24,9/24/2016,17.5,W,89.3,Visitor,2016-17,Regular
Play On Pittsburgh,North Carolina,Pittsburgh,37,36,9/24/2016,7.5,W,89.3,Visitor,2016-17,Regular
Play On Nicholls State,South Alabama,Nicholls State,41,40,9/24/2016,17,W,89.3,Visitor,2016-17,Regular
Play On Syracuse,Connecticut,Syracuse,24,31,9/24/2016,1.5,W,90.9,Neutral,2016-17,Regular
Play On Idaho,UNLV,Idaho,30,33,9/24/2016,14.5,W,92.6,Visitor,2016-17,Regular
Play On Southern Miss,UTEP,Southern Miss,7,34,9/24/2016,-14,W,92.6,Visitor,2016-17,Regular
Play On Colorado,Oregon,Colorado,38,41,9/24/2016,13.5,W,92.6,Visitor,2016-17,Regular
Play On Missouri State,Kansas State,Missouri State,35,0,9/24/2016,50.5,W,92.6,Visitor,2016-17,Regular
Play On Ball State,Florida Atlantic,Ball State,27,31,9/24/2016,-3,W,94.3,Visitor,2016-17,Regular
Play On Central Florida,Florida Intl,Central Florida,14,53,9/24/2016,-10,W,94.3,Visitor,2016-17,Regular
Play On Nebraska,Northwestern,Nebraska,13,24,9/24/2016,-7.5,W,94.3,Visitor,2016-17,Regular
Play On Appalachian St,Akron,Appalachian St,38,45,9/24/2016,-4.5,W,94.3,Visitor,2016-17,Regular
Play On Stanford,UCLA,Stanford,13,22,9/24/2016,-2.5,W,94.3,Visitor,2016-17,Regular
Play On Florida State,South Florida,Florida State,35,55,9/24/2016,-3.5,W,94.3,Visitor,2016-17,Regular
Play On Central Arkansas,Arkansas State,Central Arkansas,23,28,9/24/2016,17,W,94.3,Visitor,2016-17,Regular
Play On BYU,West Virginia,BYU,35,32,9/24/2016,8.5,W,95.2,Neutral,2016-17,Regular
Play On Air Force,Utah State,Air Force,20,27,9/24/2016,-5.5,W,95.2,Visitor,2016-17,Regular
Play On Houston,Texas State,Houston,3,64,9/24/2016,-31,W,96.2,Visitor,2016-17,Regular
Play On Miami Ohio,Cincinnati,Miami Ohio,27,20,9/24/2016,13.5,W,97.1,Visitor,2016-17,Regular
Play On UL Lafayette,Tulane,UL Lafayette,41,39,9/24/2016,3,W,97.1,Visitor,2016-17,Regular
Play On Louisiana Tech,Middle Tenn St,Louisiana Tech,38,34,9/24/2016,4.5,W,98,Visitor,2016-17,Regular
Play On Wake Forest,Indiana,Wake Forest,28,33,9/24/2016,7,W,98,Visitor,2016-17,Regular
Play On Gardner Webb,Ohio,Gardner Webb,37,21,9/24/2016,30,W,99,Visitor,2016-17,Regular
Play On Western Illinois,Northern Illinois,Western Illinois,23,28,9/24/2016,7.5,W,99,Visitor,2016-17,Regular
Play On Duke,Notre Dame,Duke,35,38,9/24/2016,20.5,W,106,Visitor,2016-17,Regular
Play On Connecticut,Houston,Connecticut,42,14,9/29/2016,27.5,L,-100,Visitor,2016-17,Regular
Play On Kansas,Texas Tech,Kansas,55,19,9/29/2016,27.5,L,-100,Visitor,2016-17,Regular
Play On Stanford,Washington,Stanford,44,6,9/30/2016,3.5,L,-100,Visitor,2016-17,Regular
Play On Toledo,BYU,Toledo,55,53,9/30/2016,3,W,90.9,Visitor,2016-17,Regular
Play On Syracuse,Syracuse,Notre Dame,33,50,10/1/2016,13.5,L,-100,Neutral,2016-17,Regular
Play On Rutgers,Ohio State,Rutgers,58,0,10/1/2016,39,L,-100,Visitor,2016-17,Regular
Play On Florida,Vanderbilt,Florida,6,13,10/1/2016,-14,L,-100,Visitor,2016-17,Regular
Play On SMU,Temple,SMU,45,20,10/1/2016,12,L,-100,Visitor,2016-17,Regular
Play On Texas,Oklahoma State,Texas,49,31,10/1/2016,2.5,L,-100,Visitor,2016-17,Regular
Play On Baylor,Iowa State,Baylor,42,45,10/1/2016,-17,L,-100,Visitor,2016-17,Regular
Play On UL Monroe,Auburn,UL Monroe,58,7,10/1/2016,32.5,L,-100,Visitor,2016-17,Regular
Play On Tennessee,Georgia,Tennessee,31,34,10/1/2016,-3.5,L,-100,Visitor,2016-17,Regular
Play On Purdue,Maryland,Purdue,50,7,10/1/2016,11,L,-100,Visitor,2016-17,Regular
Play On Navy,Air Force,Navy,28,14,10/1/2016,7,L,-100,Visitor,2016-17,Regular
Play On Akron,Kent,Akron,27,31,10/1/2016,-9,L,-100,Visitor,2016-17,Regular
Play On Utah,California,Utah,28,23,10/1/2016,-2,L,-100,Visitor,2016-17,Regular
Play On Wake Forest,NC State,Wake Forest,33,16,10/1/2016,14,L,-100,Visitor,2016-17,Regular
Play On Oregon State,Colorado,Oregon State,47,6,10/1/2016,20,L,-100,Visitor,2016-17,Regular
Play On Texas A&M,South Carolina,Texas A&M,13,24,10/1/2016,-19.5,L,-100,Visitor,2016-17,Regular
Play On Memphis,Mississippi,Memphis,48,28,10/1/2016,15.5,L,-100,Visitor,2016-17,Regular
Play On Florida Atlantic,Florida Intl,Florida Atlantic,33,31,10/1/2016,-3,L,-100,Visitor,2016-17,Regular
Play On Missouri,LSU,Missouri,42,7,10/1/2016,12,L,-100,Visitor,2016-17,Regular
Play On Arizona State,USC,Arizona State,41,20,10/1/2016,10,L,-100,Visitor,2016-17,Regular
Play On Louisville,Clemson,Louisville,42,36,10/1/2016,-1,L,-100,Visitor,2016-17,Regular
Play On Incarnate Word,Texas State,Incarnate Word,48,17,10/1/2016,16,L,-100,Visitor,2016-17,Regular
Play On Michigan State,Indiana,Michigan State,24,21,10/1/2016,-4.5,L,-100,Visitor,2016-17,Regular
Play On San Diego State,South Alabama,San Diego State,42,24,10/1/2016,-18,L,-100,Visitor,2016-17,Regular
Play On Oregon,Washington State,Oregon,51,33,10/1/2016,-2.5,L,-100,Visitor,2016-17,Regular
Play On UL Lafayette,New Mexico State,UL Lafayette,37,31,10/1/2016,-5.5,L,-100,Visitor,2016-17,Regular
Play On Fresno State,UNLV,Fresno State,45,20,10/1/2016,10,L,-100,Visitor,2016-17,Regular
Play On Nevada,Hawaii,Nevada,38,17,10/1/2016,-3,L,-100,Visitor,2016-17,Regular
Play On Arizona,UCLA,Arizona,45,24,10/1/2016,10.5,L,-100,Visitor,2016-17,Regular
Play On Buffalo,Boston College,Buffalo,35,3,10/1/2016,18,L,-100,Visitor,2016-17,Regular
Play On Minnesota,Penn State,Minnesota,29,26,10/1/2016,3,P,0,Visitor,2016-17,Regular
Play On Middle Tenn St,North Texas,Middle Tenn St,13,30,10/1/2016,-17,P,0,Visitor,2016-17,Regular
Play On Alcorn State,Arkansas,Alcorn State,52,10,10/1/2016,50.5,W,85.5,Visitor,2016-17,Regular
Play On Tulane,Massachusetts,Tulane,24,31,10/1/2016,-2.5,W,87,Visitor,2016-17,Regular
Play On Western Michigan,Central Michigan,Western Michigan,10,49,10/1/2016,-3,W,87,Visitor,2016-17,Regular
Play On Miami Florida,Georgia Tech,Miami Florida,21,35,10/1/2016,-7.5,W,90.1,Visitor,2016-17,Regular
Play On Kansas State,West Virginia,Kansas State,17,16,10/1/2016,3.5,W,90.9,Visitor,2016-17,Regular
Play On Troy,Idaho,Troy,13,34,10/1/2016,-15,W,90.9,Visitor,2016-17,Regular
Play On Wyoming,Colorado State,Wyoming,17,38,10/1/2016,5.5,W,90.9,Visitor,2016-17,Regular
Play On Houston Baptist,Western Kentucky,Houston Baptist,50,3,10/1/2016,54.5,W,90.9,Visitor,2016-17,Regular
Play On North Carolina,Florida State,North Carolina,35,37,10/1/2016,10.5,W,91.7,Visitor,2016-17,Regular
Play On Eastern Michigan,Bowling Green,Eastern Michigan,25,28,10/1/2016,-1,W,93.5,Visitor,2016-17,Regular
Play On Utah State,Boise State,Utah State,21,10,10/1/2016,24.5,W,93.5,Visitor,2016-17,Regular
Play On Northwestern,Iowa,Northwestern,31,38,10/1/2016,11,W,94.3,Visitor,2016-17,Regular
Play On Georgia State,Appalachian St,Georgia State,17,3,10/1/2016,19,W,94.3,Visitor,2016-17,Regular
Play On Ohio,Miami Ohio,Ohio,7,17,10/1/2016,-2,W,94.3,Visitor,2016-17,Regular
Play On Wisconsin,Michigan,Wisconsin,14,7,10/1/2016,11.5,W,94.3,Visitor,2016-17,Regular
Play On UTEP,Louisiana Tech,UTEP,28,7,10/1/2016,22.5,W,94.3,Visitor,2016-17,Regular
Play On Rice,Southern Miss,Rice,44,28,10/1/2016,26,W,94.3,Visitor,2016-17,Regular
Play On Marshall,Pittsburgh,Marshall,43,27,10/1/2016,16.5,W,94.3,Visitor,2016-17,Regular
Play On Virginia,Duke,Virginia,20,34,10/1/2016,3,W,94.3,Visitor,2016-17,Regular
Play On Oklahoma,TCU,Oklahoma,46,52,10/1/2016,-3.5,W,94.3,Visitor,2016-17,Regular
Play On Notre Dame,Syracuse,Notre Dame,33,50,10/1/2016,-13.5,W,96.2,Neutral,2016-17,Regular
Play On Northern Illinois,Ball State,Northern Illinois,24,31,10/1/2016,3,W,98,Visitor,2016-17,Regular
Play On Kentucky,Alabama,Kentucky,34,6,10/1/2016,37,W,99,Visitor,2016-17,Regular
