Play,Home Team,Visitor Team,Home Score,Visitor Score,Event Date,Odds,Result,Units Won,Home / Visitor,Season,Season Type
Play On Missouri State,Memphis,Missouri State,63,7,9/5/2015,24,L,-100,Visitor,2015-16,Regular
Play On Jackson State,Middle Tenn St,Jackson State,70,14,9/5/2015,39.5,L,-100,Visitor,2015-16,Regular
Play On Northern Iowa,Iowa State,Northern Iowa,31,7,9/5/2015,14.5,L,-100,Visitor,2015-16,Regular
Play On Mississippi Valley State,New Mexico,Mississippi Valley State,66,0,9/5/2015,42,L,-100,Visitor,2015-16,Regular
Play On Bethune Cookman,Miami Florida,Bethune Cookman,38,0,9/5/2015,38,P,0,Visitor,2015-16,Regular
Play On Sam Houston State,Texas Tech,Sam Houston State,59,45,9/5/2015,14,P,0,Visitor,2015-16,Regular
Play On Texas A&M,Texas A&M,Arizona State,38,17,9/5/2015,-3,W,87,Neutral,2015-16,Regular
Play On Louisville,Auburn,Louisville,31,24,9/5/2015,10.5,W,89.3,Neutral,2015-16,Regular
Play On Tennessee,Tennessee,Bowling Green,59,30,9/5/2015,-21.5,W,90.9,Neutral,2015-16,Regular
Play On Youngstown State,Pittsburgh,Youngstown State,45,37,9/5/2015,16.5,W,90.9,Visitor,2015-16,Regular
Play On Maine,Boston College,Maine,24,3,9/5/2015,26.5,W,90.9,Visitor,2015-16,Regular
Play On Portland State,Washington State,Portland State,17,24,9/5/2015,31,W,90.9,Visitor,2015-16,Regular
Play On Gardner Webb,South Alabama,Gardner Webb,33,23,9/5/2015,21.5,W,90.9,Visitor,2015-16,Regular
Play On North Dakota,Wyoming,North Dakota,13,24,9/5/2015,18,W,90.9,Visitor,2015-16,Regular
Play On SE Missouri State,Missouri,SE Missouri State,34,3,9/5/2015,40.5,W,90.9,Visitor,2015-16,Regular
Play On So Illinois,Indiana,So Illinois,48,47,9/5/2015,20.5,W,90.9,Visitor,2015-16,Regular
Play On Towson,East Carolina,Towson,28,20,9/5/2015,28,W,90.9,Visitor,2015-16,Regular
Play On Alabama A&M,Cincinnati,Alabama A&M,52,10,9/5/2015,46,W,90.9,Visitor,2015-16,Regular
Play On South Dakota,Kansas State,South Dakota,34,0,9/5/2015,36,W,90.9,Visitor,2015-16,Regular
Play On Tennessee Tech,Houston,Tennessee Tech,52,24,9/5/2015,37,W,90.9,Visitor,2015-16,Regular
Play On San Diego,San Diego State,San Diego,37,3,9/5/2015,36.5,W,90.9,Visitor,2015-16,Regular
Play On South Dakota State,Kansas,South Dakota State,38,41,9/5/2015,-2,W,91.7,Visitor,2015-16,Regular
Play On Florida Atlantic,Tulsa,Florida Atlantic,47,44,9/5/2015,4,W,94.3,Visitor,2015-16,Regular
Play On Eastern Washington,Oregon,Eastern Washington,61,42,9/5/2015,35,W,95.2,Visitor,2015-16,Regular
Play On UL Lafayette,Kentucky,UL Lafayette,40,33,9/5/2015,17,W,96.2,Visitor,2015-16,Regular
Play On BYU,Nebraska,BYU,28,33,9/5/2015,5,W,98,Visitor,2015-16,Regular
Play On UNLV,Northern Illinois,UNLV,38,30,9/5/2015,21.5,W,99,Visitor,2015-16,Regular
Play On Alabama,Alabama,Wisconsin,35,17,9/5/2015,-12,W,100,Neutral,2015-16,Regular
Play On Purdue,Marshall,Purdue,41,31,9/6/2015,7,L,-100,Visitor,2015-16,Regular
Play On Ohio State,Virginia Tech,Ohio State,24,42,9/7/2015,-13.5,W,101,Visitor,2015-16,Regular
Play On Louisiana Tech,Western Kentucky,Louisiana Tech,41,38,9/10/2015,-2.5,L,-100,Visitor,2015-16,Regular
Play On Miami Florida,Florida Atlantic,Miami Florida,20,44,9/11/2015,-17,W,84,Visitor,2015-16,Regular
Play On Utah State,Utah,Utah State,24,14,9/11/2015,11.5,W,94.3,Visitor,2015-16,Regular
Play On Fresno State,Mississippi,Fresno State,73,21,9/12/2015,32.5,L,-100,Visitor,2015-16,Regular
Play On Western Michigan,Georgia Southern,Western Michigan,43,17,9/12/2015,-5.5,L,-100,Visitor,2015-16,Regular
Play On LSU,Mississippi St,LSU,19,21,9/12/2015,-3,L,-100,Visitor,2015-16,Regular
Play On Miami Ohio,Wisconsin,Miami Ohio,58,0,9/12/2015,31,L,-100,Visitor,2015-16,Regular
Play On Marshall,Ohio,Marshall,21,10,9/12/2015,-3,L,-100,Visitor,2015-16,Regular
Play On Wake Forest,Syracuse,Wake Forest,30,17,9/12/2015,4,L,-100,Visitor,2015-16,Regular
Play On Appalachian St,Clemson,Appalachian St,41,10,9/12/2015,18.5,L,-100,Visitor,2015-16,Regular
Play On Missouri,Arkansas State,Missouri,20,27,9/12/2015,-9.5,L,-100,Visitor,2015-16,Regular
Play On Massachusetts,Colorado,Massachusetts,48,14,9/12/2015,11.5,L,-100,Visitor,2015-16,Regular
Play On Oregon State,Michigan,Oregon State,35,7,9/12/2015,13.5,L,-100,Visitor,2015-16,Regular
Play On Tulane,Georgia Tech,Tulane,65,10,9/12/2015,33,L,-100,Visitor,2015-16,Regular
Play On Georgia,Vanderbilt,Georgia,14,31,9/12/2015,-17.5,L,-100,Visitor,2015-16,Regular
Play On Boise State,BYU,Boise State,35,24,9/12/2015,-2.5,L,-100,Visitor,2015-16,Regular
Play On Notre Dame,Virginia,Notre Dame,27,34,9/12/2015,-13.5,L,-100,Visitor,2015-16,Regular
Play On San Diego State,California,San Diego State,35,7,9/12/2015,12.5,L,-100,Visitor,2015-16,Regular
Play On Arkansas,Arkansas,Toledo,12,16,9/12/2015,-22.5,L,-100,Neutral,2015-16,Regular
