"","Date","Away","Home","Actual","OREB_1","OREB_2","OREB_4","OREB_5a","OREB_5b","OREB_5c","OREB_6","OREB_7","OREB_8","OREB_9","OREB_11","OREB_12","OREB_13","OREB_14","OREB_15","OREB_16","OREB_17"
"24","4/6/2023","Portland Trail Blazers","San Antonio Spurs",26,22.13459345,20.5256,22.9955599,21.86095274,22,21.18,23.02,20.77283709,19.38236,25.35172433,22.24,23.2939435,18.9157446,22.27312,19.23390879,19.16707743,20
"25","4/6/2023","Oklahoma City Thunder","Utah Jazz",24,21.9178215,22.49303333,23.10221454,22.81748396,24,23.1,20.16,25.63144076,22.5877,26.01250629,22.99,22.57720142,24.8629442,23.64535,23.52142256,24.49160771,23
"26","4/6/2023","Denver Nuggets","Phoenix Suns",16,21.5653582,20.0588,19.8876185,20.99080331,23,22.17,21.26,20.81911934,20.19779,18.20500857,21.15,18.00763591,20.1431479,19.73697,20.57947398,19.14511555,22
"27","4/7/2023","Houston Rockets","Charlotte Hornets",21,23.09520907,22.32653333,26.20092654,25.09956801,26,22.86,26.8,25.21233461,19.36016,17.68766688,23.79,22.04354812,28.3138778,25.43528,21.02522416,19.3105231,24
"28","4/7/2023","Miami Heat","Washington Wizards",26,20.74427741,19.099,19.10808139,18.79261847,21,18.64,NA,17.49043893,20.06903,18.95036067,18.81,18.20664191,18.7711443,18.08246,19.06398953,17.13252413,21
"29","4/7/2023","Detroit Pistons","Indiana Pacers",19,22.5041626,20.724,24.71768023,23.21907928,21,22.48,24.54,22.29522395,19.45741,17.9505866,21,26.29524201,29.7595238,22.56236,24.19734078,18.52076378,22
"30","4/7/2023","Orlando Magic","Brooklyn Nets",25,20.63004463,19.1753,19.62615264,20.36443581,19,20.02,18.56,18.7181841,20.25554,22.51783825,17.98,23.58595687,14.2309841,17.60606,21.41301117,18.85048657,19
"31","4/7/2023","Toronto Raptors","Boston Celtics",25,21.97784749,20.42316667,21.23555147,19.88730805,22,20.63,18.69,20.96022372,19.21509,19.81676081,20.91,20.34238651,21.5597464,18.75346,20.35817115,19.43104835,20
"32","4/7/2023","Philadelphia 76ers","Atlanta Hawks",17,21.59848972,20.0064,18.54081646,20.33280697,20,20.56,22.3,19.80608446,22.22366,17.28931052,20.06,23.86979025,18.9737925,18.71348,21.93686164,22.59868216,23
"33","4/7/2023","Memphis Grizzlies","Milwaukee Bucks",22,22.20448382,24.04973333,21.31524735,23.13147246,22,21.87,25.33,24.75332438,16.97302,20.21667013,24.16,21.05094811,23.9156509,24.86609,18.70455166,18.96473986,22
"34","4/7/2023","New York Knicks","New Orleans Pelicans",11,21.46827753,21.019,20.99232573,22.4169216,24,21,25.06,23.21658995,20.93548,21.28220697,23.86,17.66538048,24.8101284,23.0726,19.80829543,21.32351472,23
"35","4/7/2023","Chicago Bulls","Dallas Mavericks",15,20.41155252,18.3622,20.12090242,17.04102316,18,17.6,17.64,15.8524849,18.63119,26.39443402,16.98,18.14377857,18.9601183,17.54966,14.63502502,15.15165219,20
"36","4/7/2023","Golden State Warriors","Sacramento Kings",28,18.94887786,18.38016667,18.86522777,19.61659953,20,20.89,16.41,19.10926027,20.52525,26.04503027,19.02,22.8719144,23.9620536,20.46093,18.74578902,20.39287076,21
"37","4/7/2023","Phoenix Suns","Los Angeles Lakers",23,21.65216079,20.73486667,21.36071806,21.06083864,22,22.34,26.21,21.82771375,19.14761,25.13978015,21.99,20.22073247,25.0782313,21.67058,18.82337166,21.52282741,23
"38","4/8/2023","Denver Nuggets","Utah Jazz",22,21.65517242,21.05706667,18.76869838,21.10864008,22,22.2,24.69,22.10492421,21.96083,22.04240074,22.28,18.91283585,17.6174505,20.58421,20.29235125,21.97178646,21
"39","4/8/2023","Portland Trail Blazers","Los Angeles Clippers",20,20.11484553,20.02423333,20.07187373,19.56754553,19,19.76,17.89,18.72629203,21.91771,16.34498379,NA,23.01938444,22.0641047,18.88421,19.7928313,16.60321619,21
"40","4/8/2023","Minnesota Timberwolves","San Antonio Spurs",21,22.2736901,20.98506667,22.28881555,22.54542614,20,22.32,24.4,22.32839794,19.27237,16.90921671,20.95,21.21578301,25.4358631,21.87669,21.93370102,20.7287933,21
"41","4/9/2023","Atlanta Hawks","Boston Celtics",28,21.82689835,20.46533333,18.1077868,20.14488535,21,20.71,22.4,21.30827645,21.78108,17.45265703,20.02,23.65597661,21.3313318,19.98346,21.81027899,20.63507408,22
"42","4/9/2023","Philadelphia 76ers","Brooklyn Nets",23,19.96622324,17.84883333,16.07300072,19.13369993,17,19.59,20.03,17.4884502,21.89205,25.90954565,16.32,23.25864588,23.8532338,15.94672,21.43878923,17.34527664,20
"43","4/9/2023","Detroit Pistons","Chicago Bulls",26,20.87030271,19.76836667,20.13283725,21.21484387,19,19.74,15.8,19.07573487,19.4964,18.57971728,19.94,24.61927134,20.3081931,20.29822,20.12143906,17.4264291,22
